Municipio,Unidade,Juiz
Água Branca,Vara Unica,Mathews Francisco Rodrigues de Souza do Amaral
Alagoa Grande,Vara Unica,Jose Jackson Guimaraes
Alagoa Nova,Vara Unica,Eronildo Jose Pereira
Alagoinha,Vara Unica,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Alhandra,Vara Unica,Daniere Ferreira de Souza
Araruna,1ª Vara Mista,Clara de Faria Queiroz
Araruna,2ª Vara Mista,Philippe Guimaraes Padilha Vilar
Areia,Vara Unica,Alessandra Varandas Paiva Madruga de Oliveira Lima
Bananeiras,Vara Unica,Jailson Shizue Suassuna
Belém,Vara Unica,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Boqueirão,Vara Unica,"Ieda Maria Dantas ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Caaporã,Vara Unica,VAGO
Cajazeiras,1º Juizado Auxiliar Misto da 5ª Circunscricao,VAGO
Cajazeiras,Juizado Especial Misto,Hermeson Alves Nogueira
Cajazeiras,1ª Vara Mista,Macario Oliveira Junior
Cajazeiras,2ª Vara Mista,"Savio Jose de Amorim Santos ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Cajazeiras,3ª Vara Mista,VAGO
Cajazeiras,4ª Vara Mista,"Mayuce Santos Macedo ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Cajazeiras,5ª Vara Mista,VAGO
Catolé do Rocha,1ª Vara Mista,"Mario Guilherme Leite de Moura ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Catolé do Rocha,2ª Vara Mista,Fernanda de Araujo Paz
Catolé do Rocha,3ª Vara Mista,Renato Levi Dantas Jales
Conceição,1ª Vara Mista,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Conceição,2ª Vara Mista,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Conde,Vara Unica,Lessandra Nara Torres Silva
Coremas,Vara Unica,"Odilson de Moraes ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Cuité,1ª Vara Mista,Iano Miranda dos Anjos
Cuité,2ª Vara Mista,Fabio Brito de Faria
Esperança,1ª Vara Mista,Paula Frassinetti Nobrega de Miranda Dantas
Esperança,2ª Vara Mista,Adriana Lins de Oliveira Bezerra
Gurinhém,Vara Unica,Glauco Coutinho Marques
Ingá,1ª Vara Mista,Rafaela Pereira Toni Coutinho
Ingá,2ª Vara Mista,Isabelle Braga Guimaraes
Itabaiana,1ª Vara Mista,Andreia Silva Matos
Itabaiana,2ª Vara Mista,Michel Rodrigues de Amorim
Itabaiana,3ª Vara Mista,Luciana Rodrigues Lima
Itaporanga,1ª Vara Mista,Francisca Brena Camelo Brito
Itaporanga,2ª Vara Mista,Antonio Eugenio Leite Ferreira Neto
Itaporanga,3ª Vara Mista,Hyanara Torres Tavares de Queiroz
Jacaraú,Vara Unica,Eduardo Roberto de Oliveira Barros Filho
Juazeirinho,Vara Unica,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Mamanguape,Cartorio Unificado,VAGO
Mamanguape,Juizado Especial Misto,Juliana Duarte Maroja
Mamanguape,1ª Vara Mista,Brunna Melgaço Alves
Mamanguape,2ª Vara Mista,Kalina de Oliveira Lima Marques
Mamanguape,3ª Vara Mista,Elza Bezerra da Silva Pedrosa
Monteiro,1ª Vara Mista,Nilson Dias de Assis Neto
Monteiro,2ª Vara Mista,Rodrigo Augusto Gomes Brito Vital da Costa
Monteiro,3ª Vara Mista,VAGO
Pedras de Fogo,Vara Unica,"Higyna Josita Simoes de Almeida ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Piancó,1ª Vara Mista,"Pedro Davi Alves de Vasconcelos ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Piancó,2ª Vara Mista,"Roberto Cesar Lemos de Sa Cruz ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Picuí,Vara Unica,Anyfrancis Araujo da Silva
Pocinhos,Vara Unica,Carmen Helen Agra de Brito
Pombal,1ª Vara Mista,"Osmar Caetano Xavier ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Pombal,2ª Vara Mista,"Jose Emanuel da Silva e Sousa ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Pombal,3ª Vara Mista,VAGO
Princesa Isabel,1ª Vara Mista,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Princesa Isabel,2ª Vara Mista,VAGO
Princesa Isabel,3ª Vara Mista,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Queimadas,1ª Vara Mista,Fabiano Lucio Gracascosta
Queimadas,2ª Vara Mista,Jeremias de Cassio Carneiro de Melo
Remígio,Vara Unica,Juliana Dantas Almeida
Rio Tinto,Vara Unica,Judson Kildere Nascimento Faheina
Santa Luzia,Vara Unica,Rossini Amorim Bastos
São Bento,Vara Unica,"Rusio Lima de Melo ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
São João do Rio do Peixe,1ª Vara Mista,Kleyber Thiago Trovao Eulalio
São João do Rio do Peixe,2ª Vara Mista,Pedro Henrique de Araujo Rangel
São José de Piranhas,Vara Unica,"Ricardo Henriques Pereira Amorim ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Sapé,1ª Vara Mista,Anderley Ferreira Marques
Sapé,2ª Vara Mista,Andrea Costa Dantas Botto Targino
Sapé,3ª Vara Mista,Renan do Valle Melo Marques
Serra Branca,Vara Unica,"Jose Irlando Sobreira Machado ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Solânea,Vara Unica,Osenival dos Santos Costa
Soledade,Vara Unica,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Sumé,Vara Unica,"Juliana Accioly Uchoa ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Taperoá,Vara Unica,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Teixeira,Vara Unica,Carlos Gustavo Guimaraes Albergaria Barreto
Umbuzeiro,Vara Unica,Maria Carmen Heraclio do Rego Freire Farinha
Bayeux,Juizado Especial Misto,Nilson Bandeira do Nascimento
Bayeux,1ª Vara Mista,"Bruno Cesar Azevedo Isidro ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Bayeux,2ª Vara Mista,Antonio Rudimacy Firmino de Sousa
Bayeux,3ª Vara Mista,Euler Paulo de Moura Jansen
Bayeux,4ª Vara Mista,Francisco Antunes Batista
Bayeux,5ª Vara Mista,Gilberto de Medeiros Rodrigues
Cabedelo,Cartorio Unificado,VAGO
Cabedelo,Juizado Especial Misto,Paulo Roberto Regis de Oliveira Lima
Cabedelo,1ª Vara Mista,Thana Michelle Carneiro Rodrigues
Cabedelo,2ª Vara Mista,VAGO
Cabedelo,3ª Vara Mista,Giovanna Lisboa Araujo de Souza
